MAL_ID,Synopsis
174,people school represents opportunity fresh start classes friends bob school chance entire student body bad academy hardest realize dreams school ordinary academic institution concentrating classic subjects science academy sole purpose arts japan result aspirations dog cut runs easily duo school serving competitive attend academy stronger sister learn answers questions
175,capital city tokyo japan exists vast unknown underground people users exist people ability control elements water freeze meet friend average school tokyo meet user life lives change
176,singer school charity tour mother left died people bring ellis master protect tour coming continue ellis company protect friend costs
177,country friend wings disappear memory attempts save life restore memory solution left travel collect helping japan country wishes return runaway jump return white meat
179,popular student middle school calm cool collected carefully image catch eye crush studying playing tennis finding chances speak mind day bench returning item girl searching lost item earlier chosen secret school tennis teams dispute courts forced settle matter playing boys team friend prospect losing embarrassing approached revealed earth failing graduate magic kingdom middle school win match piece handy
180,women technology allowed entire star women live bitter war male class stuck attempt stealing robot female capture vanguard worse male crew vanguard captured vessel giant vanguard ships stuck women learn
181,crew defeated huge earth stage noticed aiming crew faced crisis travel speed inform crisis current earth brought girl travel worse imagine crew noticed true fight future finally changed final attack enemy violent save relations
182,ordinary cards fortune telling night boy van suddenly appears sky vicious van light appears result land earth hangs sky land van prince kingdom falls attack evil empire attempt fight van boards family ancient battle suit fails defeat destroyed van knight allen shocked crush earth allies van fight forces empire revive ancient power
183,dream professional player game accepted prestigious junior rate team rise rank junior finally play support friends strong determination lots hard skills developing rapidly setting dream
184,passed abandoned planet earth hostile scrambling defeat threat existence development specialized amazing engineer response threat ship destroyed thrust middle battle
185,friends cars knowledge car enthusiasts street son shop owner deliver morning fail driving mountain conversations cars driving daily routine forced night red team street visit town challenge local mountain pass led red plan racing establishing fastest crew region toyota drive incident brothers cautious driver geared remarkable technique experience local roads mount
186,impressive victories imposed street racing rising star newly confidence winning turf mount jeopardy team exclusively car model favored professional racing pilots mitsubishi drive team leader pilot driving car lacks true modern race car philosophy reason team drivers perfect track record intact highly skilled superior team hot streak
187,skilled street loss team leader experiencing engine failure school graduate approached team leader proposes formation professional street racing team ideal improve street remains street takes professional doubts street racing decides settle score
188,surrounding moves house leads life house remembered memories dream american graduate student secret locked genes sharing fate suffered
189,promised girl meet tokyo university future national practice ranked knowing owned hotel intended stay studies tokyo hotel transformed odd twist fate eventually manager life living
190,finally passed officially student breaking leg accident goals overseas trip absence sister scene claims manager starts tenants complicated letter tenants mess letter car crashes read letter
191,preliminary tests approach christmas christmas rumor love true decided christmas afford attention tests day winter begun coming rumors christmas love christmas true decides love christmas
192,tests hope succeed final stretch fails assuming failed runs rest cast desert island bring finally confidence sits paper falling barely time complete paper fail paper escape forget memories luck meets island cast
193,born ability magic labeled ability person equal times magic respect receive power determined birth genetics stemming famous highly sought lowest magic count academy looked consists ages meaning leads sought women transfer student declares wife traditional family kill pursue influential family genes deal guys school women chasing
194,arrive earth final days war shot fighter plane pilot island technology stays island island shattered battle involves fighter
195,day strange woman lake woman officer federation teacher spite setback teacher gradually principal school relationship solution married marriage secret school friends federation teacher fragile love student
196,mystery clue family photograph children boy girl playing pool blue house attempt family moves blue house living comfortable life day door photograph claiming prove relative
197,average boy likes women crush teacher engaged heads girl japanese government married ordinary girl engineered human referred promise waive multiple bills parents exchange allowed stay house life
198,war rich poor prominent japan exception rich seek satisfy pleasure tokyo materialized city result war capitalist tokyo club base located red light district city collect caught process brought girl called midst contact ability power mystery club battle
199,pleased parents discover abandoned park house cautiously meets eye strange happen falls food parents pigs start crossed spirit trapped live spirits cast unique characters meets vivid intriguing sen tells save parents return
200,girl secret boy met person magic user person book appears grant blood applied body twist grants wishes aged pass enters school school falls love book reverse
201,rejection store eye purchasing girl tape meant ease hearts play broken beautiful girl bed calling golden opportunity finally experience true love troubling broken flaws promises ensure true love life girl daily life boy pursuit guardian sets girl dreams
202,dying exists ancient sole life land exist live humans elaborate lone wolf drawn freeze city town rule lord drawn flowers key door ideal set crumbling cities legendary promised land seeking intentions power reach
203,survived generation worth secrets universe shattered light shadow blame accusations lead war heir shadow forces sharon sharon accomplished feels body drawn shadow tribe sharon assault light forces beauty sir leader tribe light army loses battle day sharon bed hard takes sexual maria light tribe maria sir prepares launch scale attack tribe shadow
204,birthday realistic dream girl giant floating surprised girl sleeping dream people woman dream fighting powers fight
205,spends days drink customers desperately calls shop wild fighting technique movements decides pick fight unwilling precise traditional style proves opponent destroying entire shop killing local son crime captured set executed duo return wishes pair initially idea eventually agree assist girl killing set period japan individuals action comedy dynamic fighting set beat unique
206,death war heroes knight allies famous land hand seeks domination leader attempts lies force set stage death destruction
207,aftermath battle plagued war thousands quiet peace unity finally foreseeable land unknown evil stir ancient preserving island creating political keeping maintaining central control mixed race party led stand threat war destruction
210,class artist school arts training china father meet terrible fate fall spring girl cold water hot water boy complicated father arranged daughters secure future determined chooses daughter skilled artist notorious opponents meet love angry hangs head
212,destruction city concern school student friend school time intends friend decides accomplish defeat combat overcome strength speed creates challenges school gate battle extremely earth searching left
213,forced father restaurant summer bad grades school boring job experience workers boss
214,returns manager cast male lead late accident manages job persistent set female lead manager sweet hard secret sister served romantic comedy
215,time girl uniform job literally hate surprise job facing daily time passes discover hate word feelings
216,restaurant chain temporarily newly established branch beach resort location friends attract customers attending beauty contest feeling stops stronger stronger
217,school student friend crush school changed accept differences continue friendship lives events start start heart luck lead women attempts solve
219,passed successor disappeared joined forces popularity jumping grows vast transportation network developed dubbed plan network holds answers power secrets fall wrong hands trouble trouble launched offensive leaving united forces desperate crew called active duty mission save takes win race technology happened
